id,description,attack_type,protocol,severity,snort_rule
1,Détection d'un scan de ports SYN sur un serveur web,Port Scan,TCP,medium,"alert tcp any any -> $HOME_NET 80 (msg:""SYN Scan détecté""; flags:S; threshold:type both, track by_src, count 20, seconds 5; sid:1000001; rev:1;)"
2,Détection d'une attaque DoS par flood UDP,DoS,UDP,high,"alert udp any any -> $HOME_NET any (msg:""UDP Flood DoS""; threshold:type both, track by_src, count 1000, seconds 1; sid:1000002; rev:1;)"
3,Tentative de connexion SSH par brute force,Brute Force,TCP,high,"alert tcp any any -> $HOME_NET 22 (msg:""SSH Brute Force""; threshold:type both, track by_src, count 10, seconds 60; sid:1000003; rev:1;)"
4,Injection SQL dans une requête HTTP GET,SQL Injection,TCP,critical,"alert tcp any any -> $HOME_NET 80 (msg:""SQL Injection GET""; content:""GET""; http_method; content:""union+select""; nocase; http_uri; sid:1000004; rev:1;)"
5,Scan de ports FTP pour recherche de services ouverts,Port Scan,TCP,low,"alert tcp any any -> $HOME_NET 21 (msg:""FTP Port Scan""; flags:S; threshold:type both, track by_src, count 5, seconds 10; sid:1000005; rev:1;)"
6,Attaque SYN Flood contre un serveur DNS,DoS,TCP,high,"alert tcp any any -> $HOME_NET 53 (msg:""SYN Flood DNS""; flags:S; threshold:type both, track by_src, count 500, seconds 1; sid:1000006; rev:1;)"
7,Tentative d'exploitation de buffer overflow via FTP,Buffer Overflow,TCP,critical,"alert tcp any any -> $HOME_NET 21 (msg:""FTP Buffer Overflow""; content:""USER""; content:""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA""; sid:1000007; rev:1;)"
8,Détection d'un reverse shell via connexion sortante suspecte,Reverse Shell,TCP,critical,"alert tcp $HOME_NET any -> any 4444 (msg:""Reverse Shell détecté port 4444""; flags:S; sid:1000008; rev:1;)"
9,Scan ICMP ping sweep sur le réseau interne,Reconnaissance,ICMP,low,"alert icmp any any -> $HOME_NET any (msg:""ICMP Ping Sweep""; itype:8; threshold:type both, track by_src, count 30, seconds 5; sid:1000009; rev:1;)"
10,Téléchargement d'un exécutable via HTTP non chiffré,Malware,TCP,medium,"alert tcp any any -> $HOME_NET 80 (msg:""Téléchargement EXE HTTP""; content:""MZ""; within:2; depth:2; content:"".exe""; nocase; http_uri; sid:1000010; rev:1;)"
11,Tentative de connexion RDP depuis une IP externe suspecte,Brute Force,TCP,high,"alert tcp any any -> $HOME_NET 3389 (msg:""RDP Brute Force""; flags:S; threshold:type both, track by_src, count 5, seconds 30; sid:1000011; rev:1;)"
12,Détection de trafic Command and Control (C2) via HTTP,C2,TCP,critical,"alert tcp $HOME_NET any -> any 80 (msg:""C2 Beacon HTTP""; content:""POST""; http_method; content:""/update""; http_uri; threshold:type both, track by_src, count 5, seconds 60; sid:1000012; rev:1;)"
13,Injection de commande OS via paramètre HTTP,Command Injection,TCP,critical,"alert tcp any any -> $HOME_NET 80 (msg:""OS Command Injection""; content:""GET""; http_method; content:""|3b|""; http_uri; content:""cmd""; nocase; http_uri; sid:1000013; rev:1;)"
14,Attaque par amplification DNS (DNS Amplification),DDoS,UDP,high,"alert udp any any -> $HOME_NET 53 (msg:""DNS Amplification Attack""; content:""|00 00 FF 00 01|""; depth:5; offset:4; sid:1000014; rev:1;)"
15,Tentative d'accès à la page d'administration WordPress,Web Attack,TCP,medium,"alert tcp any any -> $HOME_NET 80 (msg:""WordPress Admin Access""; content:""GET""; http_method; content:""/wp-admin""; http_uri; sid:1000015; rev:1;)"
16,Scan de vulnérabilités avec Nmap détecté,Reconnaissance,TCP,medium,"alert tcp any any -> $HOME_NET any (msg:""Nmap Scan Détecté""; content:""|00 0A 00 00 00 00 00|""; depth:7; sid:1000016; rev:1;)"
17,Détection d'exfiltration de données via DNS,Data Exfiltration,UDP,high,"alert udp $HOME_NET any -> any 53 (msg:""DNS Data Exfiltration""; content:""TXT""; threshold:type both, track by_src, count 50, seconds 10; sid:1000017; rev:1;)"
18,Tentative de traversal de répertoire via HTTP,Directory Traversal,TCP,high,"alert tcp any any -> $HOME_NET 80 (msg:""Directory Traversal""; content:""GET""; http_method; content:""../../../""; http_uri; sid:1000018; rev:1;)"
19,Trafic suspect vers le port Telnet depuis l'extérieur,Brute Force,TCP,medium,"alert tcp any any -> $HOME_NET 23 (msg:""Telnet Access Suspect""; flags:S; threshold:type both, track by_src, count 5, seconds 30; sid:1000019; rev:1;)"
20,Attaque ICMP Smurf (broadcast amplification),DDoS,ICMP,high,"alert icmp any any -> 255.255.255.255 any (msg:""ICMP Smurf Attack""; itype:8; sid:1000020; rev:1;)"
21,Détection d'un ver réseau se propageant via SMB,Worm,TCP,critical,"alert tcp any any -> $HOME_NET 445 (msg:""SMB Worm Propagation""; content:""|FF 53 4D 42|""; depth:4; sid:1000021; rev:1;)"
22,Tentative d'exploitation EternalBlue (MS17-010),Exploit,TCP,critical,"alert tcp any any -> $HOME_NET 445 (msg:""EternalBlue Exploit MS17-010""; content:""|00 00 00 00 00 01 00 00 00 00 00 00 00|""; depth:13; sid:1000022; rev:1;)"
23,Requête HTTP avec User-Agent de scanner automatique,Reconnaissance,TCP,low,"alert tcp any any -> $HOME_NET 80 (msg:""Scanner User-Agent""; content:""nikto""; nocase; http_header; sid:1000023; rev:1;)"
24,Détection de connexion VPN non autorisée via PPTP,Unauthorized Access,TCP,medium,"alert tcp any any -> $HOME_NET 1723 (msg:""Connexion PPTP Non Autorisée""; flags:S; sid:1000024; rev:1;)"
25,Accès suspect à un fichier de configuration sensible,Web Attack,TCP,high,"alert tcp any any -> $HOME_NET 80 (msg:""Accès fichier config""; content:""GET""; http_method; content:"".env""; http_uri; nocase; sid:1000025; rev:1;)"
26,Tentative de connexion SMTP avec authentification répétée,Brute Force,TCP,medium,"alert tcp any any -> $HOME_NET 25 (msg:""SMTP Auth Brute Force""; content:""AUTH LOGIN""; threshold:type both, track by_src, count 10, seconds 60; sid:1000026; rev:1;)"
27,Trafic IRC suspect depuis le réseau interne (botnet),Botnet,TCP,high,"alert tcp $HOME_NET any -> any 6667 (msg:""Trafic IRC Botnet""; content:""NICK""; content:""JOIN""; sid:1000027; rev:1;)"
28,Injection XSS dans un formulaire HTTP POST,XSS,TCP,medium,"alert tcp any any -> $HOME_NET 80 (msg:""XSS Injection""; content:""POST""; http_method; content:""<script>""; nocase; http_client_body; sid:1000028; rev:1;)"
29,Scan UDP sur plage de ports pour services exposés,Port Scan,UDP,low,"alert udp any any -> $HOME_NET any (msg:""UDP Port Scan""; threshold:type both, track by_src, count 50, seconds 5; sid:1000029; rev:1;)"
30,Détection de trafic Tor sortant depuis réseau interne,Anonymization,TCP,medium,"alert tcp $HOME_NET any -> any 9001 (msg:""Trafic Tor Détecté""; flags:S; sid:1000030; rev:1;)"
31,Tentative d'exploitation Apache Struts (CVE-2017-5638),Exploit,TCP,critical,"alert tcp any any -> $HOME_NET 80 (msg:""Apache Struts RCE""; content:""Content-Type""; content:""%{(""; http_header; nocase; sid:1000031; rev:1;)"
32,Flood HTTP (slowloris) contre serveur web,DoS,TCP,high,"alert tcp any any -> $HOME_NET 80 (msg:""Slowloris DoS""; flags:S; content:""GET""; threshold:type both, track by_src, count 200, seconds 10; sid:1000032; rev:1;)"
33,Accès à phpMyAdmin depuis une IP externe,Unauthorized Access,TCP,medium,"alert tcp any any -> $HOME_NET 80 (msg:""phpMyAdmin Access""; content:""GET""; http_method; content:""/phpmyadmin""; nocase; http_uri; sid:1000033; rev:1;)"
34,Requête DNS vers domaine malveillant connu,Malware,UDP,high,"alert udp $HOME_NET any -> any 53 (msg:""DNS Malveillant""; content:""malware-c2.ru""; nocase; sid:1000034; rev:1;)"
35,Connexion sortante vers adresse IP suspecte Tor Exit Node,C2,TCP,critical,"alert tcp $HOME_NET any -> 185.220.101.0/24 any (msg:""Connexion Tor Exit Node""; flags:S; sid:1000035; rev:1;)"
36,Tentative de force brute sur authentification LDAP,Brute Force,TCP,high,"alert tcp any any -> $HOME_NET 389 (msg:""LDAP Brute Force""; threshold:type both, track by_src, count 10, seconds 30; sid:1000036; rev:1;)"
37,Détection d'un DDoS par réflexion NTP,DDoS,UDP,high,"alert udp any 123 -> $HOME_NET any (msg:""NTP Reflection DDoS""; content:""|1c|""; depth:1; sid:1000037; rev:1;)"
38,Accès non autorisé à un API REST sans token,Unauthorized Access,TCP,medium,"alert tcp any any -> $HOME_NET 8080 (msg:""API Access Sans Auth""; content:""GET""; http_method; content:""/api/v1""; http_uri; content:!""Authorization""; http_header; sid:1000038; rev:1;)"
39,Exécution de commande PowerShell via HTTP,Command Injection,TCP,critical,"alert tcp any any -> $HOME_NET 80 (msg:""PowerShell via HTTP""; content:""powershell""; nocase; http_client_body; sid:1000039; rev:1;)"
40,Détection d'un ransomware chiffrant les fichiers réseau,Ransomware,TCP,critical,"alert tcp $HOME_NET any -> $HOME_NET 445 (msg:""Ransomware SMB Encryption""; content:""|FF 53 4D 42 25|""; threshold:type both, track by_src, count 100, seconds 10; sid:1000040; rev:1;)"
41,Scan ARP pour cartographie du réseau local,Reconnaissance,ARP,low,"alert arp any any -> any any (msg:""ARP Scan Réseau Local""; threshold:type both, track by_src, count 50, seconds 5; sid:1000041; rev:1;)"
42,Tentative de connexion MySQL depuis une IP externe,Unauthorized Access,TCP,medium,"alert tcp any any -> $HOME_NET 3306 (msg:""MySQL Accès Externe""; flags:S; sid:1000042; rev:1;)"
43,Trafic de minage de cryptomonnaie (CoinMiner),Cryptomining,TCP,medium,"alert tcp $HOME_NET any -> any 3333 (msg:""CoinMiner Stratum Protocol""; content:""mining.subscribe""; sid:1000043; rev:1;)"
44,Injection LDAP dans un formulaire d'authentification,LDAP Injection,TCP,high,"alert tcp any any -> $HOME_NET 80 (msg:""LDAP Injection""; content:""POST""; http_method; content:""*)(uid=*""; http_client_body; sid:1000044; rev:1;)"
45,Attaque de type Man-in-the-Middle via ARP Spoofing,MITM,ARP,critical,"alert arp any any -> any any (msg:""ARP Spoofing MITM""; content:""|00 01 08 00 06 04 00 02|""; depth:8; sid:1000045; rev:1;)"
46,Détection d'un scan XMAS (flags FIN+PSH+URG),Port Scan,TCP,medium,"alert tcp any any -> $HOME_NET any (msg:""XMAS Scan""; flags:FPU; sid:1000046; rev:1;)"
47,Tentative d'accès Kubernetes Dashboard sans authentification,Unauthorized Access,TCP,high,"alert tcp any any -> $HOME_NET 8001 (msg:""Kubernetes Dashboard Non Auth""; content:""GET""; http_method; content:""/api/v1/namespaces""; http_uri; sid:1000047; rev:1;)"
48,Connexion entrante sur port inhabituel depuis l'extérieur,Suspicious Traffic,TCP,low,"alert tcp any any -> $HOME_NET 31337 (msg:""Port Inhabituel Back Orifice""; flags:S; sid:1000048; rev:1;)"
49,Détection d'exfiltration via protocole ICMP tunneling,Data Exfiltration,ICMP,high,"alert icmp $HOME_NET any -> any any (msg:""ICMP Tunneling Exfiltration""; itype:8; dsize:>100; threshold:type both, track by_src, count 20, seconds 5; sid:1000049; rev:1;)"
50,Tentative d'exploitation Log4Shell (CVE-2021-44228),Exploit,TCP,critical,"alert tcp any any -> $HOME_NET any (msg:""Log4Shell CVE-2021-44228""; content:""${jndi:""; nocase; http_any; sid:1000050; rev:1;)"
